타임스탬프,"1. 귀하는 최근 2년 사이, 함께 사는 공간에서 발생하는 생활 소음 때문에 불편함을 느끼신 적이 있나요? 
(이웃, 가족의 소음 등 모두 포함)","1-1. 귀하는 그 소음으로 얼마나 자주 불편함을 느끼시나요?
('예'라고 답하신 분만 응답)","2. 귀하는 반대로, 나의 생활 소음이 다른 사람에게 피해를 줄까 봐 걱정하거나 조심해 보신 적이 있나요?","2-1. 다른 사람을 위해 소음을 줄이려고 어떤 노력을 하고 계신가요? 
('예'라고 답하신 분만 응답, 중복 가능)","3. 앞서 설명해 드린 '쿵덕이'가, 소음으로 인한 갈등이나 서로 배려하는 문화를 만드는 데 도움이 될 것이라고 생각하십니까?","4. 만약 우리 집이 먼저 조심하고 배려하는 모습을 보인다면, 이웃이나 나를 더 배려해 줄 것이라고 기대하시나요?","5. 귀하는 이 서비스의 여러 기능 중, 어떤 점이 가장 매력적으로 느껴지시나요? (2개까지 선택 가능)","6. 귀하는 만약 이 서비스가 출시된다면, 이용해 볼 의향이 있으십니까?","7. 귀하는 이 '쿵덕이' 피규어 기기가 출시된다면, 어느 정도의 가격대일 때 구매를 긍정적으로 고려하시겠습니까?","8. 귀하는 소음 문제로 힘들어하거나, 소음을 자주 내는 가족, 친구, 룸메이트에게 이 제품을 선물할 의향이 있으신가요?",9. 귀하의 연령대는 어떻게 되시나요?,"10. 다음 중, 생활 소음과 관련하여 귀하의 상황을 가장 잘 설명하는 것은 무엇인가요? (1개 선택)"
2025. 8. 9 오후 1:46:31,예,거의 매일,자주 있다.,"실내화(슬리퍼)를 착용한다., 가구 다리에 소음 방지 패드를 붙였다., 저녁 시간에 세탁기, 건조기 사용을 최대한 자제한다.",그렇다.,"예, 긍정적인 영향을 줄 것이다.","소음 수준에 따라 색이 변하는 피규어 디자인 자체, 소음과 진동이 '이 정도면 괜찮구나'를 알 수 있는 객관적인 데이터 확인",보통이다.,1~2 만원,예,20대,"(라이프스타일 추구형) 집에 머무는 시간이 길고, 귀엽고 예쁜 인테리어 소품으로 공간을 꾸미는 것을 좋아합니다."
2025. 8. 9 오후 1:50:23,아니오,,가끔 있다.,"저녁 시간에 세탁기, 건조기 사용을 최대한 자제한다.",그렇다.,잘 모르겠다.,"소음 발생 즉시 부드러운 불빛으로 알려주는 실시간 피드백, 우리 집의 소음 발생 시간이나 종류를 AI가 분석해서 보여주는 리포트, 소음과 진동이 '이 정도면 괜찮구나'를 알 수 있는 객관적인 데이터 확인",보통이다.,1~2 만원,아니오,20대,"(야간 소음 민감 직장인) 주로 퇴근 후 저녁 시간에 집에서 쉬는데, 이웃이나 룸메이트의 소음 때문에 스트레스를 받습니다."
2025. 8. 9 오후 2:13:18,예,일주일에 1~3회,자주 있다.,"가구 다리에 소음 방지 패드를 붙였다., 미디어 소리를 낮추거나 이어폰을 사용한다.",보통이다.,"예, 긍정적인 영향을 줄 것이다.","소음 수준에 따라 색이 변하는 피규어 디자인 자체, 소음 발생 즉시 부드러운 불빛으로 알려주는 실시간 피드백",있다.,2~3 만원,예,20대,"특별히 위 상황에 해당되지는 않지만, 소음 문제에 관심이 있습니다."
2025. 8. 9 오후 2:19:56,아니오,,자주 있다.,"저녁 시간에 세탁기, 건조기 사용을 최대한 자제한다., 소음이 발생하지 않도록 조심히 다니거나 숨죽여 있는다., 미디어 소리를 낮추거나 이어폰을 사용한다.",그렇다.,"예, 긍정적인 영향을 줄 것이다.","소음 발생 즉시 부드러운 불빛으로 알려주는 실시간 피드백, 나의 노력이 '배려 포인트'로 쌓여 보상받는 게임 같은 즐거움",있다.,2~3 만원,예,20대,"(소음 무자각자 가족) 제 발소리나 생활 습관이 다른 사람에게 피해를 줄까 봐 걱정되거나, 그런 지적을 받거나 우리 가족 중 있습니다."
2025. 8. 9 오후 2:20:24,아니오,한 달에 한 번 미만,자주 있다.,"실내화(슬리퍼)를 착용한다., 저녁 시간에 세탁기, 건조기 사용을 최대한 자제한다., 미디어 소리를 낮추거나 이어폰을 사용한다.",매우 그렇다.,"예, 긍정적인 영향을 줄 것이다.",소음 수준에 따라 색이 변하는 피규어 디자인 자체,있다.,2~3 만원,예,20대,"(야간 소음 민감 직장인) 주로 퇴근 후 저녁 시간에 집에서 쉬는데, 이웃이나 룸메이트의 소음 때문에 스트레스를 받습니다."
2025. 8. 9 오후 2:21:25,아니오,,가끔 있다.,"아이들(가족)에게 실내에서 뛰지 않도록(소음이 덜 나도록) 주의를 준다., 소음 방지 매트를 설치했다.",그렇다.,잘 모르겠다.,우리 집의 소음 발생 시간이나 종류를 AI가 분석해서 보여주는 리포트,있다.,4~5 만원,예,30대,"(야간 소음 민감 직장인) 주로 퇴근 후 저녁 시간에 집에서 쉬는데, 이웃이나 룸메이트의 소음 때문에 스트레스를 받습니다."
2025. 8. 9 오후 2:21:54,아니오,,자주 있다.,"가구 다리에 소음 방지 패드를 붙였다., 저녁 시간에 세탁기, 건조기 사용을 최대한 자제한다., 미디어 소리를 낮추거나 이어폰을 사용한다.",보통이다.,잘 모르겠다.,"소음 발생 즉시 부드러운 불빛으로 알려주는 실시간 피드백, 소음과 진동이 '이 정도면 괜찮구나'를 알 수 있는 객관적인 데이터 확인",보통이다.,1~2 만원,예,20대,"(소음 무자각자 가족) 제 발소리나 생활 습관이 다른 사람에게 피해를 줄까 봐 걱정되거나, 그런 지적을 받거나 우리 가족 중 있습니다."
2025. 8. 9 오후 2:28:31,예,일주일에 1~3회,자주 있다.,"아이들(가족)에게 실내에서 뛰지 않도록(소음이 덜 나도록) 주의를 준다., 가구 다리에 소음 방지 패드를 붙였다., 소음 방지 매트를 설치했다., 저녁 시간에 세탁기, 건조기 사용을 최대한 자제한다., 소음이 발생하지 않도록 조심히 다니거나 숨죽여 있는다.",그렇다.,"예, 긍정적인 영향을 줄 것이다.","우리 집의 소음 발생 시간이나 종류를 AI가 분석해서 보여주는 리포트, 소음과 진동이 '이 정도면 괜찮구나'를 알 수 있는 객관적인 데이터 확인",매우 있다.,4~5 만원,예,30대,"(어린이 양육 가정) 미취학~초등학생 자녀를 키우고 있어, 아이들이 내는 소음이 항상 신경 쓰입니다."
2025. 8. 9 오후 3:05:28,예,일주일에 1~3회,자주 있다.,"저녁 시간에 세탁기, 건조기 사용을 최대한 자제한다., 미디어 소리를 낮추거나 이어폰을 사용한다.",그렇다.,"아니오, 별로 영향을 주지 않을 것 같다.",소음 수준에 따라 색이 변하는 피규어 디자인 자체,있다.,2~3 만원,예,20대,"(소음 무자각자 가족) 제 발소리나 생활 습관이 다른 사람에게 피해를 줄까 봐 걱정되거나, 그런 지적을 받거나 우리 가족 중 있습니다."
2025. 8. 9 오후 3:05:31,아니오,한 달에 한 번 미만,가끔 있다.,"실내화(슬리퍼)를 착용한다., 저녁 시간에 세탁기, 건조기 사용을 최대한 자제한다., 미디어 소리를 낮추거나 이어폰을 사용한다.",그렇다.,"예, 긍정적인 영향을 줄 것이다.","우리 집의 소음 발생 시간이나 종류를 AI가 분석해서 보여주는 리포트, 소음과 진동이 '이 정도면 괜찮구나'를 알 수 있는 객관적인 데이터 확인",보통이다.,2~3 만원,아니오,50대 이상,"특별히 위 상황에 해당되지는 않지만, 소음 문제에 관심이 있습니다."
2025. 8. 9 오후 3:08:10,예,거의 매일,자주 있다.,"아이들(가족)에게 실내에서 뛰지 않도록(소음이 덜 나도록) 주의를 준다., 가구 다리에 소음 방지 패드를 붙였다., 소음 방지 매트를 설치했다., 저녁 시간에 세탁기, 건조기 사용을 최대한 자제한다., 소음이 발생하지 않도록 조심히 다니거나 숨죽여 있는다., 미디어 소리를 낮추거나 이어폰을 사용한다., 따로 적는 칸이 없어서 적습니다. 알아보셨겠지만 집을 시공할때 어떤 마루를 사용했는지에 따라 소음 전파 정도가 상이합니다. 이부분도 고려해보시면 좋을거 같습니다!",보통이다.,"아니오, 별로 영향을 주지 않을 것 같다.","소음 발생 즉시 부드러운 불빛으로 알려주는 실시간 피드백, 소음과 진동이 '이 정도면 괜찮구나'를 알 수 있는 객관적인 데이터 확인",보통이다.,1~2 만원,예,20대,"(야간 소음 민감 직장인) 주로 퇴근 후 저녁 시간에 집에서 쉬는데, 이웃이나 룸메이트의 소음 때문에 스트레스를 받습니다."
2025. 8. 9 오후 3:27:00,예,한 달에 한 번 미만,자주 있다.,"가구 다리에 소음 방지 패드를 붙였다., 저녁 시간에 세탁기, 건조기 사용을 최대한 자제한다., 미디어 소리를 낮추거나 이어폰을 사용한다.",그렇다.,잘 모르겠다.,소음 수준에 따라 색이 변하는 피규어 디자인 자체,있다.,2~3 만원,예,20대,"(소음 무자각자 가족) 제 발소리나 생활 습관이 다른 사람에게 피해를 줄까 봐 걱정되거나, 그런 지적을 받거나 우리 가족 중 있습니다."
2025. 8. 9 오후 3:50:36,예,일주일에 1~3회,자주 있다.,실내화(슬리퍼)를 착용한다.,전혀 그렇지 않다.,"예, 긍정적인 영향을 줄 것이다.",소음과 진동이 '이 정도면 괜찮구나'를 알 수 있는 객관적인 데이터 확인,전혀 없다.,1~2 만원,아니오,20대,"(라이프스타일 추구형) 집에 머무는 시간이 길고, 귀엽고 예쁜 인테리어 소품으로 공간을 꾸미는 것을 좋아합니다."
2025. 8. 9 오후 3:57:00,예,일주일에 1~3회,가끔 있다.,"아이들(가족)에게 실내에서 뛰지 않도록(소음이 덜 나도록) 주의를 준다., 가구 다리에 소음 방지 패드를 붙였다.",그렇다.,"예, 긍정적인 영향을 줄 것이다.","소음 수준에 따라 색이 변하는 피규어 디자인 자체, 나의 노력이 '배려 포인트'로 쌓여 보상받는 게임 같은 즐거움, 소음과 진동이 '이 정도면 괜찮구나'를 알 수 있는 객관적인 데이터 확인",보통이다.,1~2 만원,아니오,20대,"(소음 무자각자 가족) 제 발소리나 생활 습관이 다른 사람에게 피해를 줄까 봐 걱정되거나, 그런 지적을 받거나 우리 가족 중 있습니다."
2025. 8. 9 오후 4:00:58,예,일주일에 1~3회,자주 있다.,"실내화(슬리퍼)를 착용한다., 아이들(가족)에게 실내에서 뛰지 않도록(소음이 덜 나도록) 주의를 준다., 저녁 시간에 세탁기, 건조기 사용을 최대한 자제한다., 소음이 발생하지 않도록 조심히 다니거나 숨죽여 있는다.",매우 그렇다.,잘 모르겠다.,"소음 수준에 따라 색이 변하는 피규어 디자인 자체, 소음과 진동이 '이 정도면 괜찮구나'를 알 수 있는 객관적인 데이터 확인",있다.,2~3 만원,예,20대,"(라이프스타일 추구형) 집에 머무는 시간이 길고, 귀엽고 예쁜 인테리어 소품으로 공간을 꾸미는 것을 좋아합니다."
2025. 8. 9 오후 4:15:33,예,한 달에 1회,가끔 있다.,소음이 발생하지 않도록 조심히 다니거나 숨죽여 있는다.,보통이다.,"예, 긍정적인 영향을 줄 것이다.","우리 집의 소음 발생 시간이나 종류를 AI가 분석해서 보여주는 리포트, 소음과 진동이 '이 정도면 괜찮구나'를 알 수 있는 객관적인 데이터 확인",보통이다.,1~2 만원,예,20대,"(소음 무자각자 가족) 제 발소리나 생활 습관이 다른 사람에게 피해를 줄까 봐 걱정되거나, 그런 지적을 받거나 우리 가족 중 있습니다."
2025. 8. 9 오후 4:25:03,예,한 달에 1회,가끔 있다.,"특별히 하는 노력은 없다., 미디어 소리를 낮추거나 이어폰을 사용한다.",그렇다.,잘 모르겠다.,"소음 수준에 따라 색이 변하는 피규어 디자인 자체, 소음 발생 즉시 부드러운 불빛으로 알려주는 실시간 피드백",별로 없다.,1~2 만원,예,20대,"(라이프스타일 추구형) 집에 머무는 시간이 길고, 귀엽고 예쁜 인테리어 소품으로 공간을 꾸미는 것을 좋아합니다."
2025. 8. 9 오후 4:33:20,예,한 달에 1회,거의 없다.,"실내화(슬리퍼)를 착용한다., 특별히 하는 노력은 없다.",보통이다.,"예, 긍정적인 영향을 줄 것이다.","우리 집의 소음 발생 시간이나 종류를 AI가 분석해서 보여주는 리포트, 소음과 진동이 '이 정도면 괜찮구나'를 알 수 있는 객관적인 데이터 확인",전혀 없다.,1~2 만원,아니오,30대,"(라이프스타일 추구형) 집에 머무는 시간이 길고, 귀엽고 예쁜 인테리어 소품으로 공간을 꾸미는 것을 좋아합니다."
2025. 8. 9 오후 5:01:03,예,일주일에 1~3회,가끔 있다.,"저녁 시간에 세탁기, 건조기 사용을 최대한 자제한다., 소음이 발생하지 않도록 조심히 다니거나 숨죽여 있는다., 미디어 소리를 낮추거나 이어폰을 사용한다.",그렇다.,잘 모르겠다.,"소음 수준에 따라 색이 변하는 피규어 디자인 자체, 소음 발생 즉시 부드러운 불빛으로 알려주는 실시간 피드백, 우리 집의 소음 발생 시간이나 종류를 AI가 분석해서 보여주는 리포트, 소음과 진동이 '이 정도면 괜찮구나'를 알 수 있는 객관적인 데이터 확인",보통이다.,1~2 만원,예,20대,"(야간 소음 민감 직장인) 주로 퇴근 후 저녁 시간에 집에서 쉬는데, 이웃이나 룸메이트의 소음 때문에 스트레스를 받습니다."
2025. 8. 9 오후 5:09:02,예,일주일에 1~3회,가끔 있다.,"저녁 시간에 세탁기, 건조기 사용을 최대한 자제한다., 소음이 발생하지 않도록 조심히 다니거나 숨죽여 있는다.",그렇다.,"예, 긍정적인 영향을 줄 것이다.","소음 발생 즉시 부드러운 불빛으로 알려주는 실시간 피드백, 우리 집의 소음 발생 시간이나 종류를 AI가 분석해서 보여주는 리포트",있다.,2~3 만원,예,20대,"(야간 소음 민감 직장인) 주로 퇴근 후 저녁 시간에 집에서 쉬는데, 이웃이나 룸메이트의 소음 때문에 스트레스를 받습니다."
2025. 8. 9 오후 5:11:15,예,한 달에 한 번 미만,가끔 있다.,"저녁 시간에 세탁기, 건조기 사용을 최대한 자제한다., 미디어 소리를 낮추거나 이어폰을 사용한다.",그렇다.,"예, 긍정적인 영향을 줄 것이다.","소음 발생 즉시 부드러운 불빛으로 알려주는 실시간 피드백, 우리 집의 소음 발생 시간이나 종류를 AI가 분석해서 보여주는 리포트, 소음과 진동이 '이 정도면 괜찮구나'를 알 수 있는 객관적인 데이터 확인",보통이다.,1~2 만원,예,20대,"(라이프스타일 추구형) 집에 머무는 시간이 길고, 귀엽고 예쁜 인테리어 소품으로 공간을 꾸미는 것을 좋아합니다."
2025. 8. 9 오후 6:01:00,아니오,,가끔 있다.,"실내화(슬리퍼)를 착용한다., 가구 다리에 소음 방지 패드를 붙였다., 저녁 시간에 세탁기, 건조기 사용을 최대한 자제한다.",그렇다.,잘 모르겠다.,"소음 발생 즉시 부드러운 불빛으로 알려주는 실시간 피드백, 소음과 진동이 '이 정도면 괜찮구나'를 알 수 있는 객관적인 데이터 확인",별로 없다.,2~3 만원,예,20대,"특별히 위 상황에 해당되지는 않지만, 소음 문제에 관심이 있습니다."
2025. 8. 9 오후 6:24:33,예,한 달에 1회,자주 있다.,"특별히 하는 노력은 없다., 미디어 소리를 낮추거나 이어폰을 사용한다.",그렇다.,잘 모르겠다.,"소음 발생 즉시 부드러운 불빛으로 알려주는 실시간 피드백, 소음과 진동이 '이 정도면 괜찮구나'를 알 수 있는 객관적인 데이터 확인",보통이다.,1~2 만원,예,20대,"특별히 위 상황에 해당되지는 않지만, 소음 문제에 관심이 있습니다."
2025. 8. 9 오후 6:31:03,예,한 달에 1회,가끔 있다.,"저녁 시간에 세탁기, 건조기 사용을 최대한 자제한다., 소음이 발생하지 않도록 조심히 다니거나 숨죽여 있는다.",그렇다.,"예, 긍정적인 영향을 줄 것이다.","소음 수준에 따라 색이 변하는 피규어 디자인 자체, 소음 발생 즉시 부드러운 불빛으로 알려주는 실시간 피드백",매우 있다.,1~2 만원,예,20대,"(야간 소음 민감 직장인) 주로 퇴근 후 저녁 시간에 집에서 쉬는데, 이웃이나 룸메이트의 소음 때문에 스트레스를 받습니다."
2025. 8. 9 오후 7:22:48,예,일주일에 1~3회,자주 있다.,"저녁 시간에 세탁기, 건조기 사용을 최대한 자제한다., 소음이 발생하지 않도록 조심히 다니거나 숨죽여 있는다.",그렇다.,"예, 긍정적인 영향을 줄 것이다.","소음 발생 즉시 부드러운 불빛으로 알려주는 실시간 피드백, 소음과 진동이 '이 정도면 괜찮구나'를 알 수 있는 객관적인 데이터 확인",있다.,1~2 만원,예,20대,"특별히 위 상황에 해당되지는 않지만, 소음 문제에 관심이 있습니다."
2025. 8. 9 오후 8:41:03,아니오,,가끔 있다.,"실내화(슬리퍼)를 착용한다., 아이들(가족)에게 실내에서 뛰지 않도록(소음이 덜 나도록) 주의를 준다.",그렇다.,잘 모르겠다.,"소음 수준에 따라 색이 변하는 피규어 디자인 자체, 소음과 진동이 '이 정도면 괜찮구나'를 알 수 있는 객관적인 데이터 확인",보통이다.,1~2 만원,예,10대,"특별히 위 상황에 해당되지는 않지만, 소음 문제에 관심이 있습니다."
2025. 8. 9 오후 9:53:12,예,한 달에 1회,자주 있다.,"저녁 시간에 세탁기, 건조기 사용을 최대한 자제한다., 소음이 발생하지 않도록 조심히 다니거나 숨죽여 있는다.",매우 그렇다.,"예, 긍정적인 영향을 줄 것이다.",소음 수준에 따라 색이 변하는 피규어 디자인 자체,매우 있다.,4~5 만원,예,20대,"(라이프스타일 추구형) 집에 머무는 시간이 길고, 귀엽고 예쁜 인테리어 소품으로 공간을 꾸미는 것을 좋아합니다."
2025. 8. 9 오후 10:04:22,아니오,,자주 있다.,"저녁 시간에 세탁기, 건조기 사용을 최대한 자제한다., 소음이 발생하지 않도록 조심히 다니거나 숨죽여 있는다.",그렇다.,"예, 긍정적인 영향을 줄 것이다.","소음 발생 즉시 부드러운 불빛으로 알려주는 실시간 피드백, 우리 집의 소음 발생 시간이나 종류를 AI가 분석해서 보여주는 리포트, 소음과 진동이 '이 정도면 괜찮구나'를 알 수 있는 객관적인 데이터 확인",보통이다.,1~2 만원,예,20대,"특별히 위 상황에 해당되지는 않지만, 소음 문제에 관심이 있습니다."
2025. 8. 10 오전 12:23:48,아니오,,가끔 있다.,"실내화(슬리퍼)를 착용한다., 아이들(가족)에게 실내에서 뛰지 않도록(소음이 덜 나도록) 주의를 준다., 가구 다리에 소음 방지 패드를 붙였다.",매우 그렇다.,"예, 긍정적인 영향을 줄 것이다.","소음 수준에 따라 색이 변하는 피규어 디자인 자체, 소음과 진동이 '이 정도면 괜찮구나'를 알 수 있는 객관적인 데이터 확인",보통이다.,1~2 만원,아니오,20대,"특별히 위 상황에 해당되지는 않지만, 소음 문제에 관심이 있습니다."
2025. 8. 10 오전 9:11:51,예,거의 매일,가끔 있다.,"저녁 시간에 세탁기, 건조기 사용을 최대한 자제한다., 소음이 발생하지 않도록 조심히 다니거나 숨죽여 있는다.",그렇다.,잘 모르겠다.,"나의 노력이 '배려 포인트'로 쌓여 보상받는 게임 같은 즐거움, 소음과 진동이 '이 정도면 괜찮구나'를 알 수 있는 객관적인 데이터 확인",있다.,1~2 만원,예,30대,"(야간 소음 민감 직장인) 주로 퇴근 후 저녁 시간에 집에서 쉬는데, 이웃이나 룸메이트의 소음 때문에 스트레스를 받습니다."
2025. 8. 10 오전 10:38:12,아니오,한 달에 한 번 미만,가끔 있다.,"가구 다리에 소음 방지 패드를 붙였다., 저녁 시간에 세탁기, 건조기 사용을 최대한 자제한다.",매우 그렇다.,"예, 긍정적인 영향을 줄 것이다.","소음 발생 즉시 부드러운 불빛으로 알려주는 실시간 피드백, 우리 집의 소음 발생 시간이나 종류를 AI가 분석해서 보여주는 리포트",매우 있다.,2~3 만원,예,20대,"(라이프스타일 추구형) 집에 머무는 시간이 길고, 귀엽고 예쁜 인테리어 소품으로 공간을 꾸미는 것을 좋아합니다."
2025. 8. 10 오전 10:58:29,아니오,,거의 없다.,,매우 그렇다.,"예, 긍정적인 영향을 줄 것이다.","소음 발생 즉시 부드러운 불빛으로 알려주는 실시간 피드백, 나의 노력이 '배려 포인트'로 쌓여 보상받는 게임 같은 즐거움",전혀 없다.,2~3 만원,아니오,20대,"특별히 위 상황에 해당되지는 않지만, 소음 문제에 관심이 있습니다."
2025. 8. 10 오전 10:59:09,예,거의 매일,자주 있다.,"실내화(슬리퍼)를 착용한다., 저녁 시간에 세탁기, 건조기 사용을 최대한 자제한다., 소음이 발생하지 않도록 조심히 다니거나 숨죽여 있는다., 미디어 소리를 낮추거나 이어폰을 사용한다.",그렇다.,"예, 긍정적인 영향을 줄 것이다.","소음 수준에 따라 색이 변하는 피규어 디자인 자체, 소음 발생 즉시 부드러운 불빛으로 알려주는 실시간 피드백",보통이다.,1~2 만원,예,20대,"(야간 소음 민감 직장인) 주로 퇴근 후 저녁 시간에 집에서 쉬는데, 이웃이나 룸메이트의 소음 때문에 스트레스를 받습니다."
2025. 8. 10 오후 12:03:20,예,일주일에 1~3회,자주 있다.,"아이들(가족)에게 실내에서 뛰지 않도록(소음이 덜 나도록) 주의를 준다., 가구 다리에 소음 방지 패드를 붙였다., 저녁 시간에 세탁기, 건조기 사용을 최대한 자제한다., 소음이 발생하지 않도록 조심히 다니거나 숨죽여 있는다., 미디어 소리를 낮추거나 이어폰을 사용한다.",그렇지 않다.,"아니오, 별로 영향을 주지 않을 것 같다.","소음 수준에 따라 색이 변하는 피규어 디자인 자체, 소음과 진동이 '이 정도면 괜찮구나'를 알 수 있는 객관적인 데이터 확인",보통이다.,2~3 만원,아니오,40대,"(야간 소음 민감 직장인) 주로 퇴근 후 저녁 시간에 집에서 쉬는데, 이웃이나 룸메이트의 소음 때문에 스트레스를 받습니다."
2025. 8. 10 오후 1:03:09,예,일주일에 1~3회,자주 있다.,"아이들(가족)에게 실내에서 뛰지 않도록(소음이 덜 나도록) 주의를 준다., 소음 방지 매트를 설치했다.",보통이다.,잘 모르겠다.,"소음 발생 즉시 부드러운 불빛으로 알려주는 실시간 피드백, 우리 집의 소음 발생 시간이나 종류를 AI가 분석해서 보여주는 리포트",보통이다.,1~2 만원,예,40대,"(야간 소음 민감 직장인) 주로 퇴근 후 저녁 시간에 집에서 쉬는데, 이웃이나 룸메이트의 소음 때문에 스트레스를 받습니다."
